actor,num_highly_rated_titles
"Robert De Niro",1
"Jodie Foster",1
"Albert Brooks",1
"Harvey Keitel",1
"Cybill Shepherd",1
"Peter Boyle",1
"Leonard Harris",1
"Diahnne Abbott",1
"Gino Ardito",1
"Martin Scorsese",1
"Murray Moston",1
"Richard Higgs",1
"Bill Minkin",1
"Bob Maroff",1
"Victor Argo",1
"Joe Spinell",1
"Robinson Frank Adu",1
"Brenda Dickson",1
"Norman Matlock",1
"Harry Northup",1
"Harlan Cary Poe",1
"Steven Prince",1
"Peter Savage",1
"Nicholas Shields",1
"Ralph S. Singleton",1
"Annie Gagen",1
"Carson Grant",1
"Mary-Pat Green",1
"Debbi Morgan",1
"Don Stroud",1
"Copper Cunningham",1
"Garth Avery",1
"Nat Grant",1
"Billie Perkins",1
"Catherine Scorsese",1
"Charles Scorsese",1
"Graham Chapman",1
"Michael Palin",1
"Terry Jones",1
"Eric Idle",1
"Terry Gilliam",1
